Province,Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Cumulative vaccine coverage dose1,Vaccine coverage dose1 per day,Mortality rate,Daily mortality rate
Alberta,2020-12-19,89993,1306,851,10,777,18,0.0,0.0,0.946,0.766
British Columbia,2020-12-19,46932,579,724,0,356,0,0.1,0.1,1.543,0.0
Nunavut,2020-12-19,259,0,0,0,0,0,0.0,0.0,0.0,0.0
Prince Edward Island,2020-12-19,91,1,0,0,0,0,0.0,0.0,0.0,0.0
Saskatchewan,2020-12-19,13329,252,115,8,127,6,0.1,0.1,0.863,3.175
Manitoba,2020-12-19,22642,240,583,4,378,0,0.1,0.1,2.575,1.667
Northwest Territories,2020-12-19,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Nova Scotia,2020-12-19,1443,2,65,0,0,0,0.1,0.1,4.505,0.0
Newfoundland and Labrador,2020-12-19,380,8,4,0,1,0,0.2,0.2,1.053,0.0
Ontario,2020-12-19,157823,2276,4245,37,942,43,0.0,0.0,2.69,1.626
Yukon,2020-12-19,69,0,1,0,0,0,0.0,0.0,1.449,0.0
New Brunswick,2020-12-19,574,1,8,0,3,0,0.0,0.0,1.394,0.0
Northwest Territories,2020-12-20,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2020-12-20,382,2,4,0,1,0,0.2,0.0,1.047,0.0
Nova Scotia,2020-12-20,1445,2,65,0,0,0,0.1,0.0,4.498,0.0
Yukon,2020-12-20,69,0,1,0,0,0,0.0,0.0,1.449,0.0
Ontario,2020-12-20,160161,2338,4280,35,1005,63,0.0,0.0,2.672,1.497
Manitoba,2020-12-20,22865,223,593,10,378,0,0.1,0.0,2.593,4.484
British Columbia,2020-12-20,47435,503,724,0,356,0,0.1,0.0,1.526,0.0
Quebec,2020-12-20,170704,2165,7348,31,1011,6,0.1,0.0,4.305,1.432
Prince Edward Island,2020-12-20,91,0,0,0,0,0,0.0,0.0,0.0,0.0
New Brunswick,2020-12-20,574,0,8,0,3,0,0.0,0.0,1.394,0.0
Nunavut,2020-12-20,259,0,1,1,0,0,0.0,0.0,0.386,0.0
Saskatchewan,2020-12-21,13761,206,122,4,131,8,0.1,0.0,0.887,1.942
Nova Scotia,2020-12-21,1447,2,65,0,0,0,0.1,0.0,4.492,0.0
Manitoba,2020-12-21,23033,168,599,6,382,4,0.1,0.0,2.601,3.571
Yukon,2020-12-21,69,0,1,0,0,0,0.0,0.0,1.449,0.0
Nunavut,2020-12-21,262,3,1,0,0,0,0.0,0.0,0.382,0.0
New Brunswick,2020-12-21,578,4,8,0,3,0,0.0,0.0,1.384,0.0
Prince Edward Island,2020-12-21,91,0,0,0,0,0,0.0,0.0,0.0,0.0
Newfoundland and Labrador,2020-12-21,382,0,4,0,1,0,0.2,0.0,1.047,0.0
Alberta,2020-12-21,92296,1052,871,11,795,35,0.0,0.0,0.944,1.046
Northwest Territories,2020-12-21,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Quebec,2020-12-21,172700,1996,7382,34,1049,38,0.1,0.0,4.274,1.703
Nova Scotia,2020-12-22,1454,7,65,0,0,0,0.1,0.0,4.47,0.0
Yukon,2020-12-22,69,0,1,0,0,0,0.0,0.0,1.449,0.0
Quebec,2020-12-22,174702,2002,7422,40,1056,7,0.1,0.0,4.248,1.998
Prince Edward Island,2020-12-22,91,0,0,0,0,0,0.0,0.0,0.0,0.0
Northwest Territories,2020-12-22,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Alberta,2020-12-22,93632,1336,890,19,802,7,0.0,0.0,0.951,1.422
Nunavut,2020-12-22,262,0,1,0,0,0,0.0,0.0,0.382,0.0
Newfoundland and Labrador,2020-12-22,383,1,4,0,1,0,0.2,0.0,1.044,0.0
British Columbia,2020-12-22,48353,514,777,12,357,16,0.1,0.0,1.607,2.335
Quebec,2020-12-23,176908,2206,7482,60,1068,12,0.1,0.0,4.229,2.72
Newfoundland and Labrador,2020-12-23,384,1,4,0,1,0,0.2,0.0,1.042,0.0
Yukon,2020-12-23,69,0,1,0,0,0,0.0,0.0,1.449,0.0
Saskatchewan,2020-12-23,14101,159,130,5,125,1,0.1,0.0,0.922,3.145
Alberta,2020-12-23,94762,1130,890,0,821,19,0.0,0.0,0.939,0.0
New Brunswick,2020-12-23,585,5,8,0,2,0,0.0,0.0,1.368,0.0
Nova Scotia,2020-12-23,1458,4,65,0,0,0,0.1,0.0,4.458,0.0
Northwest Territories,2020-12-23,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Ontario,2020-12-23,167090,2216,4405,40,997,30,0.0,0.0,2.636,1.805
Nunavut,2020-12-23,264,2,1,0,0,0,0.0,0.0,0.379,0.0
Prince Edward Island,2020-12-23,91,0,0,0,0,0,0.0,0.0,0.0,0.0
Northwest Territories,2020-12-24,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Prince Edward Island,2020-12-24,94,3,0,0,0,0,0.0,0.0,0.0,0.0
Nova Scotia,2020-12-24,1465,7,65,0,0,0,0.1,0.0,4.437,0.0
Yukon,2020-12-24,70,1,1,0,0,0,0.0,0.0,1.429,0.0
Nunavut,2020-12-24,265,1,1,0,0,0,0.0,0.0,0.377,0.0
Alberta,2020-12-24,96002,1240,890,0,821,0,0.0,0.0,0.927,0.0
Newfoundland and Labrador,2020-12-24,384,0,4,0,1,0,0.2,0.0,1.042,0.0
Saskatchewan,2020-12-24,14255,154,134,4,125,0,0.1,0.0,0.94,2.597
Newfoundland and Labrador,2020-12-25,384,0,4,0,1,0,0.2,0.0,1.042,0.0
Northwest Territories,2020-12-25,24,0,0,0,0,0,0.0,0.0,0.0,0.0
Nunavut,2020-12-25,265,0,1,0,0,0,0.0,0.0,0.377,0.0
Manitoba,2020-12-25,23805,176,650,13,346,0,0.1,0.0,2.731,7.386
